hor,date,introduce,location,price,review,star

蔡自兴, /2017-07-01,导语_点评_推荐词,科学出版社有限责任公司,¥148.50,23条评论,width: 100%;

王保国, /2015-09-01,,清华大学出版社,¥69.50,12条评论,width: 100%;

刘洞波, /2016-09-01,,湘潭大学出版社,¥33.10,5条评论,width: 100%;

王铁方, /2016-03-01,,知识产权出版社,¥22.10,6条评论,width: 0%;

西顿, /2017-01-01,,安徽教育出版社,¥116.00,0条评论,width: 0%;

滕青芳, /2015-05-01,★全书叙述力求深入浅出、层次分明。充分考虑到教学计划的变更和考研的要求，精炼内容，突出工科特点，在理论综述和公式推导中，用经典例题代替一般性文字的叙述，增加例题和练习题的数量，加强工程技术方法的分析和训练。加强能力培养。 ★全书注重控制理论体系的基本结构，强调基本概念、基本理论和基本工程应用。引入MATLAB软件实现控制系统的辅助分析和设计，培养学生利用计算机进行控制系统设计能力。,机械工业出版社,¥38.70,10条评论,width: 100%;

曹亚静, /2012-09-01,,化学工业出版社,¥16.60,1条评论,width: 0%;

王锦地, /2009-01-01,本书汇集了课题的主要研究成果。其中，**章总结自课题建议立项以来波谱知识库建设的基本思路；第二章论述波谱数据、模型、知识、影像四库合一的知识库系统结构和设计实现；第三章以课题数据质量控制过程为线索，汇总课题组在地物波谱和配套参数测量、数据汇总等标准规范的制定、数据审核等方面的成果和经验；第四章详细论述农作物波谱数据和知识构建的研究成果；第五章详细论述岩矿波谱数据和知识构建的研究成果；第六章详细论述水体波谱数据和知识构建的研究成果；第七章介绍波谱库数据和模型在农业、矿产资源调查和水环境监测方面的应用示范；第八章简单介绍波谱库运行系统的主要功能和用户使用方法。,科学出版社,¥109.00,51条评论,width: 100%;

, /2017-07-10,,人民邮电出版社,¥162.00,0条评论,width: 0%;

, /2015-05-01,,无,¥124.00,2条评论,width: 0%;

秦荣, /2014-03-01,,科学出版社,¥62.10,11条评论,width: 0%;

DOMBRE, /2015-05-14,,机械工业出版社,¥40.70,4条评论,width: 0%;

王飞, /2012-03-01,新版《商业智能深入浅出 第2版——大数据时代下的架构规划与案例》现已上市，点击文字可购买 本系列丛书有： World Wind Java 三维地理信息系统精通ASP.NET4.0操作系统实现之路SAS开发经典案例解析wxWidgets跨平台程序开发LDAP详解－－IBMTivoli Directory Server从入门到精通商业智能深入浅出QTP自动化测试与框架模型设计 GPGPU编程技术――从GLSL、CUDA到OpenCL 数据架构与商业智能,机械工业出版社,¥52.40,0条评论,width: 0%;

杜树春, /2018-08-03,《MATLAB在日常计算中的应用》由大量的MATLAB计算实例组成。通俗易懂，图文并茂，资料丰富，实用性强。提供大量MATLAB计算实例以及全部实例的M文件，方便读者使用。既适合初学者，也适合有一定MATLAB基础的爱好者或专业技术人员。,清华大学出版社,¥38.70,0条评论,width: 0%;

栾桂冬, /2012-09-01,《传感器及其应用(第2版)》共分13章，介绍了应变式传感器、变磁阻式传感器、电阻式传感器、压电传感器、光电式传感器和半导体传感器等常用的传统传感器，还介绍了光纤传感器、声表面波传感器、MEMS传感器和Z半导体敏感元件传感器等新型的传感器，对常用的传感器电路也作了介绍。本书由栾桂冬，张金铎，金欢阳编著。,西安电子科技大学出版社,¥23.70,19条评论,width: 100%;

黄明, /2015-10-01,,电子工业出版社,¥46.90,20条评论,width: 100%;

王永骥, /2015-06-01,1.本着循序渐进、启发思维、培养创新精神的原则，设计了许多有关新技术领域，如计算机、航天、航海、航空方面的例题、习题、思考题。 2.结合自动控制理论的基本概念的讲解，应用了Matlab及控制系统工具箱进行计算机辅助教学，通过例题、习题介绍Matlab在控制系统分析、综合及仿真中的应用。,化学工业出版社,¥33.70,39条评论,width: 100%;

翁小平, /2010-03-01,,北京航空航天大学出版社,¥17.50,205条评论,width: 90%;

于玲, /2012-09-01,,化学工业出版社,¥18.10,13条评论,width: 90%;

孙余凯, /2012-04-01,,电子工业出版社,¥26.20,5条评论,width: 0%;

李士勇, /2011-12-01,,哈尔滨工业大学出版社,¥30.80,22条评论,width: 70%;

徐伟华, /2016-04-01,导语_点评_推荐词,科学出版社有限责任公司,¥67.10,12条评论,width: 100%;

孔俊, /2018-08-01,,科学出版社有限责任公司,¥75.10,44条评论,width: 100%;

杨少春, /2015-07-01,,电子工业出版社,¥29.20,13条评论,width: 100%;

沈艳, /2011-02-01,,清华大学出版社,¥22.10,82条评论,width: 90%;

斯塔赫尼克, /2013-05-01,,国防工业出版社,¥33.20,65条评论,width: 90%;

张宏建, /2010-11-01,,化学工业出版社,¥36.00,139条评论,width: 100%;

蔡自兴, /2015-03-01,,机械工业出版社,¥25.30,8条评论,width: 100%;

张宏建, /2007-09-01,,化学工业出版社,¥20.60,26条评论,width: 100%;

冬雷, /2014-10-01,暂时没有内容,北京航空航天大学出版社,¥22.00,0条评论,width: 0%;

杨俊伟, /2009-01-01,,大连理工大学出版社,¥19.30,15条评论,width: 100%;

杨国建, /2012-03-01,,,¥18.60,2条评论,width: 0%;

王永茂, /2012-09-01,,清华大学出版社,¥20.40,33条评论,width: 40%;

麦好, /2014-04-01,机器学习领域经典著作，智能计算专家多年经验结晶，以全新的角度诠释机器学习的算法理论，透过案例系统阐述机器学习的实践方法和应用技巧，指导读者轻松步入工程应用阶段,机械工业出版社,¥54.50,372条评论,width: 100%;

邹恩, /2014-08-01,,西安电子科技大学出版社,¥30.30,12条评论,width: 100%;

朱勇, /2010-07-01,由于传感器的空前发展，人们对这方面知识的需求越来越迫切。虽然目前已有不少关于传感器方面的书籍，但仍然不能满足当前人们的实际需求。为此，我们应高等院校师生和广大科研人员、工程技术人员的要求，组织有教学、科研经验的专家、教授，编写了能满足当前传感器教学的《微纳传感器及其应用》一书。本书分八章。**章对MEMS进行了概述，简要介绍了MEMS技术的定义、基础理论、制造技术及应用；第二～七章分别以机械微传感器、热微传感器、磁微传感器、光学微传感器与辐射微传感器、化学微传感器与生物微传感器和声波微传感器为主题，介绍了不同种类微传感器的原理及应用；*后第八章介绍了一些传感器的应用实例。,北京大学出版社,¥21.30,64条评论,width: 90%;

丁世飞, /2015-01-01,,中国矿业大学出版社,¥22.40,1条评论,width: 0%;

裴蓓, /2015-06-01,,电子工业出版社,¥28.40,12条评论,width: 0%;

伊恩·古德费洛, /2017-08-01,,人民邮电,¥165.71,3条评论,width: 0%;

张铎, /2013-11-01,,清华大学出版社,¥20.60,35条评论,width: 100%;

漆海霞, /2014-08-01,,西安电子科技大学出版社,¥17.00,8条评论,width: 0%;

刘保相, /2015-12-01,导语_点评_推荐词,清华大学出版社,¥50.70,13条评论,width: 80%;

张自力, /2017-12-01,,科学出版社有限责任公司,¥48.90,47条评论,width: 100%;

朱洪雷, /2018-04-01,,高等教育出版社,¥33.10,2条评论,width: 0%;

野村直之, /2018-07-01,《人工智能改变未来：工作方式、产业和社会的变革》 《人工智能》 2017年是 人工智能应用元年 ，人工智能将引领一场比互联网影响更为深远的科技革命。 本书是全面了解人工智能的必读之作，秒杀你对人工智能的一切疑问，好读易懂，有趣有料。 创新工场董事长李开复、创新工场人工智能工程院副院长王咏刚携手解读：人工智能时代，个人与企业如何找到人机协作的新位置。 人工智能将颠覆现有的商业模式，不仅在高科技领域，任何企业都需要尽早引入 AI 的思维方式。 人工智能将部分取代人类的工作，程式化的、重复性的技能将失去价值。我们的工作必须具备足够的深度，让自己强大到不会轻易被机器撼动。 《人工智能真的来了》 中国 首位媒体人 全方位探寻人工智能，书写高科技背后的浪漫与理性。 著名媒体 杨澜,东方出版社,¥119.70,1条评论,width: 0%;

李屹, /2014-07-01,,北京邮电大学出版社有限公司,¥33.10,7条评论,width: 100%;

肖南峰, /2018-08-01,,科学出版社有限责任公司,¥101.10,15条评论,width: 100%;

,2013-01-25,①注重实战，包含大量实战案例，手把手教读者动手制作机器人。 ②首本关于Dreamer控制板的书，内容循序渐进，图文并茂，也适合不懂硬件的工程师也能迅速搭建产品原型。 ③作者是资深Arduino玩家、硬件工程师，出版过《Arduino开发实战指南：AVR篇》。 ④读者可以到创客活动，即每星期三晚上的C2D2和星期四晚上的OpenDrone（www.open?drone.org）与作者讨论,北京航空航天大学出版社,¥27.60,82条评论,width: 90%;

谢志萍, /2013-10-01,,电子工业出版社,¥26.00,14条评论,width: 100%;

郭雷, /2010-09-01,,化学工业出版社,¥13.00,9条评论,width: 0%;

秦益霖, /2015-02-01,,中国铁道出版社,¥29.70,11条评论,width: 0%;

钱裕禄, /2013-02-01,,北京大学出版社,¥26.10,36条评论,width: 100%;

涂序彦, /2010-10-01,智能控制论是控制论向智能水平高度发展的新分支，大系统控制论是控制论向系统规模广度发展的新分支。本书是《大系统控制论》的姐妹篇，是关于智能控制论学科的专著，以“智能特性”为纲编排全书内容，如自寻优、自学习、自识别、自适应、自稳定、自组织、自协调等，重点研究拟人的智能控制系统。,科学出版社,¥27.60,63条评论,width: 100%;

樊哲, /2014-06-01,全面分析Mahout算法库中不同模块中的各个算法的原理及其Mahout实现流程 每个算法都辅之以实战案例，同时还包括4个系统级案例，实战性强,机械工业出版社,¥40.70,202条评论,width: 90%;

周润景, /2016-01-01,,电子工业出版社,¥39.30,10条评论,width: 100%;

吴炜, /2013-02-01,,西安电子科技大学出版社,¥19.70,51条评论,width: 100%;

王晓华, /2015-12-01,本书主要介绍MLlib数据挖掘算法，编写的内容可以分成三部分： 第一部分是MLlib最基本的介绍以及RDD的用法，包括第1~4章； 第二部分是MLlib算法的应用介绍，包括第5~12章； 第三部分通过一个经典的实例向读者演示了如何使用MLlib去进行数据挖掘工作，为第13章。,清华大学出版社,¥38.70,151条评论,width: 100%;

孙建平, /2010-02-01,,中国电力出版社,¥17.90,227条评论,width: 90%;

张玫, /2016-01-11,,机械工业出版社,¥22.10,30条评论,width: 100%;

Halit, /2008-01-01,点击查看： 国际视野，科技前沿 3G移动通信网络所取得的成绩说明了在无线媒质上进行高质量数据传输的能力在逐步增强。将无线功能应用到元器件及传感器系统中，使得它们具有无比的灵活性、健壮性与智能性。《无线传感器及元器件：网络、设计与应用》一书讲述了这个尚处于萌芽状态领域的基本原理、技术发展水平与现代应用。 从基本概念到实践应用，本书概述了所有能有效计划、设计与实施无线元器件与传感器网络所必需的内容。作者概括了元器件，测量、传感器技术、通信系统与网络的基础、同时也介绍了与数字无线元器件有关的理论、方法和组成。本书系统介绍了这些技术，同时也阐述了现代通信系统的原理、组成与技术，另外也讨论了网络标准、协议、拓扑结构与安全性等。 基于这些技术内容，本书通过实例说明了构造传感器与元器件的具体,机械工业出版社,¥22.90,56条评论,width: 90%;

万建伟, /2012-04-01,本书分别对高光谱图像的无损压缩、有损压缩以及质量评价技术进行了研究。,国防工业出版社,¥19.70,22条评论,width: 100%;

马维华, /2015-01-01,,北京航空航天大学出版社,¥38.50,19条评论,width: 100%;

刘国海, /2011-07-01,★ 本书将目前控制领域的两大技术热点—集散控制和现场总线**结合起来进行讲解。 ★ 本书在第1版的基础上，进一步合理调整了全书内容，并增加了工程设计规范和典型应用案例。使得全书内容更加合理，可读性更强。,机械工业出版社,¥23.20,64条评论,width: 90%;

Hendrik, /2014-06-01,点击查看：,机械工业出版社,¥41.30,76条评论,width: 100%;

张海兵, /2017-06-01,◆ 独特、创新、跨学科的教学设计，增进孩子们的合作意识。◆ 较强的趣味性、实践性和探索性，激发孩子们的学习兴趣。◆ 综合运用的多学科知识，让孩子们不断获得新的体验和技能。,清华大学出版社,¥15.95,0条评论,width: 0%;

王占杰, /2013-08-01,,机械工业出版社,¥33.20,15条评论,width: 80%;

杨元超, /2018-06-01,,科学出版社,¥29.20,1条评论,width: 100%;

中国电子学会, /2015-11-01,,电子工业出版社,¥33.80,60条评论,width: 100%;

埃塞姆, /2016-01-01,,机械工业出版社,¥49.00,16条评论,width: 100%;

孙培德, /2012-06-01,,电子工业出版社,¥24.20,18条评论,width: 0%;

阿米尔·侯赛因, /2018-06-30,,中信出版社,¥148.00,1条评论,width: 0%;

张德丰, /2014-12-01,,清华大学出版社,¥36.00,98条评论,width: 100%;

姚炜, /2018-08-01,,苏州大学出版社,¥23.70,0条评论,width: 0%;

万明, /2015-06-01,,国防工业出版社,¥53.70,64条评论,width: 90%;

徐享忠, /2012-08-01,仿真科学与技术及其军事应用系列丛书： 《 非对称作战数学建模与仿真分析 》 《 系统仿真（第二版） 》 《 半实物仿真（第2版） 》 《 概念建模（第2版） 》 《 系统建模（第2版） 》 《 战场环境建模与仿真 》 《 先进分布仿真（第2版） 》 《 作战仿真理论与实践 》 《 仿真科学与技术导论 》 《 作战仿真试验 》 《 作战仿真数据的量化与分析 》 《 基于本体的CGF建模 》 《 作战并行仿真 》 《 作战仿真可信性 》 《 军事模型服务原理与技术 》 《计算机生成兵力（第2版）》 《指挥控制系统仿真》 《装备作战仿真（第２版）》 《基于Agent的作战建模》,国防工业出版社,¥33.10,55条评论,width: 100%;

谢昭莉, /2012-07-01,,机械工业出版社,¥30.00,55条评论,width: 100%;

威伯·霍克斯, /2016-03-01,导语_点评_推荐词,科学出版社有限责任公司,¥62.40,17条评论,width: 100%;

飞天诚信科技股份有限公司, /2015-07-01,,电子工业出版社,¥47.60,20条评论,width: 100%;

董旺远, /2011-02-01,本书目的是提供一本简明的、易于接受的介绍控制问题的数学理论教材。在题材上，参阅了国内外同类教材，在此基础上结合编写者本人的理解和教学科研经验写成了此书。本书主要介绍状态空间法，从数学的角度考虑控制问题，以数学的视角来理解控制理论。全书分为4章，**章介绍状态空间法的概念，并简要介绍经典控制论的传递函数表示法及其与状态空间法的关系。第二章主要是Kalman(卡尔曼)线性系统理论，能控性、能观性是这一章的重点。第三章是系统的稳定性问题。第四章介绍了**控制理论的初步概念和基本方法。具有微积分、矩阵论和常微分方程基本知识的读者都可以比较容易地学习本书。本书是为信息与计算科学专业高年级本科生提供的教材，对相关专业的研究生也可作为教材或教学参考书。,武汉大学出版社,¥12.90,57条评论,width: 90%;

曾向阳, /2016-03-01,,国防工业出版社,¥33.10,1条评论,width: 0%;

莫宏貌, /2015-01-01,,人民邮电出版社,¥320.00,0条评论,width: 0%;

王晓敏, /2011-01-01,本书针对性强：切合职业教育的培养目标，侧重技能传授，弱化理论，强化实践内容。体例新颖：从人类常规的思维模式出发，对教材的内容编排进行全新的尝试，打破传统教材的编写框架；讲解的内容先由工程实例导入，然后展开理论描述，更符合老师的教学要求，也方便学生透彻地理解理论知识在工程中的运用。 注重人文：注重人文与科技的结合，在教材中适当增加人文方面的知识，激发学生的学习兴趣。 方便教学：以立体化精品教材为构建目标，部分课程配套实训教材；网上提供完备的电子教案、习题参考答案等教学资源，适合教学需要。,北京大学出版社,¥27.60,6条评论,width: 0%;

王选民, /2008-07-01,,清华大学出版社,¥36.30,0条评论,width: 0%;

伍冯洁, /2018-08-01,,哈尔滨工程大学出版社,¥28.40,0条评论,width: 0%;

彩图科技百科全书, /2005-10-01,,上海科学技术出版社,¥118.50,12条评论,width: 100%;

许毅, /2011-11-01,,清华大学出版社,¥27.20,158条评论,width: 100%;

Richard, /2018-03-01,,电子工业出版社,¥82.50,2条评论,width: 0%;

沙伊·沙莱夫, /2016-07-01,目录Understanding Machine Learning:From Theory to Algorithms出版者的话译者序前言致谢第1章引论11?1什么是学习11?2什么时候需要机器学习21?3学习的种类31?4与其他领域的关系41?5如何阅读本书41?6符号6第一部分理论基础第2章简易入门102?1一般模型——统计学习理论框架102?2经验风险最小化112?3考虑归纳偏置的经验风险最小化122?4练习15第3章一般学习模型173?1PAC学习理论173?2更常见的学习模型183?2?1放宽可实现假设——不可知PAC学习183?2?2学习问题建模193?3小结213?4文献评注213?5练习21第4章学习过程的一致收敛性244?1一致收敛是可学习的充分条件244?2有限类是不可知PAC可学习的254?3小结264?4文献评注274?5练习27第5章偏差与复杂性权衡285?1“没有免费的午餐”定理285?2误差分解315?3小结315?4文献评注325?5练习32第6章VC维336?1无限的类也可学习336?2VC维概述346?3实例356?3?1阈值函数356?3?2区间356?3?3平行于轴的,机械工业出版社,¥52.90,1条评论,width: 0%;

张海兵, /2017-06-01,◆ 独特、创新、跨学科的教学设计，增进孩子们的合作意识。◆ 较强的趣味性、实践性和探索性，激发孩子们的学习兴趣。◆ 综合运用的多学科知识，让孩子们不断获得新的体验和技能。相关图书推荐：《乐高创意机器人教程（初级 上册 6~12岁）》《乐高创意机器人教程（初级 下册 6~12岁）》《乐高创意机器人教程（中级 上册 10~16岁）》《乐高创意机器人教程（中级 下册 10~16岁）》《Arduino思维大爆炸——机器人创客综合能力实训教程》《Arduino思维大爆炸——物联网创客综合能力实训教程》,清华大学出版社,¥16.82,0条评论,width: 0%;

姚向华, /2012-04-01,,高等教育出版社,¥38.70,13条评论,width: 100%;

董红生, /2014-03-01,,清华大学出版社,¥31.40,3条评论,width: 100%;

肖智, /2007-06-01,暂时没有内容,重庆大学出版社,¥4.98,0条评论,width: 0%;

诺尔加德, /2008-02-01,《嵌入式系统：硬件与软件架构》适合嵌入式系统专业人员阅读，同时也可以作为技术人员培训和高等院校“嵌入式系统”课程教材。 “《嵌入式系统-硬件与软件架构》填补了空白。目前的大多数图书都只讲述了嵌入式系统领域的一部分问题，面《嵌入式系统-硬件与软件架构》包罗万象，足嵌入式丁程师和程序浞必备的独特的完整指南。我认为它*是一部必读之作。” “《嵌入式系统：硬件与软件架构》不仅全面而且实用，我尤其感谢作者给出的大量来自一线的诀窍和技巧，比如渊试工具方面的阐述……这足学习嵌入式系统的优佳图书。” 在日益增长的需求推动下，嵌入式系统开发已经成为学术界和工业界的热点。但是，由于涉及技术领域众多，嵌入式系统开发长期以来缺乏比较全面的文献。 《嵌入式系统：硬件与软件架构》很好地弥补了这一,人民邮电出版社,¥44.90,1条评论,width: 0%;

戴凤智, /2016-05-01,我们知道，一个人既要有身体，又要有思想。同样，机器人也主要分为硬件和软件两部分。硬件是软件的载体，软件是硬件的灵魂。在硬件上要设计机器人的外形结构和零部件等部分，在软件上要制定高度智能的控制策略。 本书从机械本体、电路系统和控制系统三方面介绍如何设计与制作机器人。以培养实践能力为目的，以电脑软件为依托，介绍了开发机器人的几种常用软件的使用方法和搭建机器人硬件的流程。 书中内容符合初学者的能力范围，将重点放在了如何动手设计和操作上。书中插入大量不同阶段制作、调试机器人时的照片以供参考，图文并茂可以使读者按照书中步骤一步一步地完成自己的机器人。因此，本书既可以供参加机器人大赛的学生作为初级指导书，也可以供在校学生作为实验教学的课题使用。,化学工业出版社,¥33.10,0条评论,width: 0%;

刘光远, /2017-04-01,导语_点评_推荐词,科学出版社,¥65.60,16条评论,width: 0%;

塔拉索夫, /2010-08-01,,高等教育出版社,¥70.30,21条评论,width: 100%;

秦肖臻, /2014-12-01,,电子工业出版社,¥31.20,12条评论,width: 0%;

德赖斯, /2012-07-01,,清华大学出版社,¥50.60,56条评论,width: 90%;

萨斯特, /2007-05-01,,世界图书出版公司,¥62.40,77条评论,width: 90%;

迈克尔·约翰·米尔福德, /2016-01-01,,国防工业出版社,¥40.00,1条评论,width: 0%;

何成平, /2018-01-01,,电子工业出版社,¥28.40,6条评论,width: 0%;

辛国斌, /2016-06-01,《国家智能制造标准体系建设指南（2015年版）》的权威案例解读，工业和信息化部部长作序推荐。,电子工业出版社,¥74.24,2条评论,width: 0%;

苏春, /2014-09-01,,机械工业出版社,¥30.30,60条评论,width: 100%;

梁森, /2013-01-01,梁森、王侃夫、黄杭美编著的《自动检测与转换技术(第3版高等职业技术教育机电类专业规划教材)》的素材多来源于*近几年国内外专利文献、科技论文等。在编写过程中，作者还先后深入几十家有关厂商和生产车间，了解、收集了较先进的产品技术资料、图片，甚至实地测绘了许多图样。有相当部分应用电路和实例是作者近十年来从事科研开发、技术改造的成果总结，均编入有关章节中，因此具有较高的真实性和可参考性。,机械工业出版社,¥23.40,0条评论,width: 0%;

李凡长钱旭培, /2010-06-01,,中国科学技术大学出版社,¥73.60,34条评论,width: 90%;

童敏明, /2012-01-01,本书以江苏省精品课程为依托，在多年的科研和教学经验的基础上，从实际应用和创新角度，将传感器的工作原理、测量电路和应用实例通过教材及其配套习题呈现给读者。与同类教材相比，本教材主要有以下三个特点： 1.结构设计新颖教材的各章结构按本章要点、学习要求、章节内容、创新应用、知识拓展、本章小结、练习题与思考题等部分组成，便于学生自主学习。 2.内容注重实用教材内容注重实际应用和知识更新，介绍传感器检测技术的应用新成果，反映国内外科学技术的先进水平，有利于学生了解传感器的应用现状，开拓眼界。 3.探索创新教育结合教材内容，增加创新应用，有助于启发式教育；精选理论联系实际的练习题，注重创新应用的设计，激发学生的创新热情，指导学生灵活运用课本知识，进行创新设计。,清华大学出版社,¥25.40,42条评论,width: 100%;

董士海, /2004-06-01,,北京大学出版社,¥23.70,51条评论,width: 90%;

孙炳达, /2012-06-01,由孙炳达主编的《自动控制原理(第3版)》是工科院校“自动控制原理”(经典控制部分)课程的教材或参考书。可作为电气工程类、自动化类各专业本科或非控制工程学科类硕士研究生的教材。教材的主要内容(未带*号)也适合机电类、信息类及计算机应用等专业的学生或高职高专、成人教育类的学生学习经典控制技术。 全书共分九章，内容涵盖了线性定常系统、非线性系统和线性离散系统三部分。,机械工业出版社,¥26.30,124条评论,width: 100%;

卢军羽, /2018-03-01,,科学出版社,¥69.50,1条评论,width: 0%;

曹少中, /2009-08-01,本书以现实世界中普遍存在的非线性系统为研究对象，论述了非线性协调控制系统的理论、方法和技术。提出了非线性协调控制系统状态方程近似迭代解法和级数解法，对于不能建立精确数学模型的非线性控制系统，给出了广义知识模型；以六维电子束为对象，得到了非线性多变量协调控制系统的动态分析方法；应用非线性协调控制理论，分析了协调市场经济运动规律；对产品概念设计过程的协调问题进行了研究。,科学出版社,¥43.40,32条评论,width: 100%;

秦志强, /2018-03-01,,电子工业出版社,¥21.90,0条评论,width: 0%;

李方园, /2013-03-01,,机械工业出版社,¥26.00,38条评论,width: 100%;

Andrea, /2017-08-01,Python是一门通用型编程语言，也是一门相对容易学习的语言。因此，数据科学家在为中小规模的数据集制作原型、实现可视化和分析数据时，经常选择使用Python。本书填补了机器学习和Web开发之间的鸿沟。本书重点讲解在Web应用中实现预测分析功能的难点，重点介绍Python语言及相关框架、工具和库，展示了如何搭建机器学习系统。你将从本书学到机器学习的核心概念，学习如何将数据部署到用Django框架开发的Web应用；还将学到如何挖掘Web、文档和服务器端数据以及如何搭建推荐引擎。随后，你将进一步探索功能强大的Django框架，学习搭建一个简单、具备现代感的影评情感分析应用，它可是用机器学习算法驱动的！本书是写给正努力成为数据科学家的读者以及新晋的数据科学家的。读者应该具备一些机器学习经验。如果你对开发智能（具备预测功能的）Web应用感兴趣,人民邮电出版社,¥41.30,0条评论,width: 0%;

肖明清, /2012-08-01,肖明清编著的《自动测试概论》系统全面介绍了自动测试相关技术知识，本书可供自动测试领域研究人员使用，也可作为高等院校相关专业的教师和研究生进行有关课题研究或课程学习的参考书。,国防工业出版社,¥40.00,24条评论,width: 100%;

王琦, /2010-06-01,,中国电力出版社,¥13.30,11条评论,width: 0%;

姜增如, /2015-08-01,,机械工业出版社,¥28.30,18条评论,width: 80%;

梁桥康, /2018-01-01,,湖南大学出版社,¥34.40,2条评论,width: 0%;

齐从谦, /2013-04-01,《CATIA V5R21三维数字化建模与动态仿真基础教程(计算机应用21世纪高等学校规划教材)》编著者 齐从谦、王士兰。 全书分为CATIA V5 R21软件概览、CATIA V5 R21特征与参数化建模、CATIA V5 R21典型零件设计、CATIA V5 R21曲面设计、CATIA V5 R21工业民用产品创新设计、CATIA V5 R21产品装配设计、CATIA V5 RZ1机构运动仿真及CATIA V5 R21结构有限元分析等8章，各章节内容均包含大量来自实践的工程设计案例，以帮助读者理清思路，掌握诀窍，举一反三，熟练应用。,清华大学出版社,¥29.80,41条评论,width: 100%;

魏伟, /2012-07-01,,冶金工业出版社,¥19.70,20条评论,width: 80%;

谢广明, /2013-07-01,,哈尔滨工程大学出版社,¥18.80,13条评论,width: 80%;

余伶俐, /2015-12-01,暂时没有内容,电子工业出版社,¥37.70,8条评论,width: 100%;

苏国辉, /2009-08-01,,电子工业出版社,¥20.10,1条评论,width: 0%;

张跃东, /2015-05-01,,电子工业出版社,¥20.50,2条评论,width: 0%;

李团结, /2009-10-01,本书以机器人技术基本概念、基本理论、基本方法、典型工程实例为主线，介绍了机器人的基本参数、系统组成及设计方法、机器人的运动学及动力学分析、轨迹规划、并联机器人、轮式机器人及多机器人系统等。全书共8章，第1章概括地介绍了机器人的应用和发展现状，描述了机器人的基本性能参数；第2章讲述了机器人系统的组成及设计方法；第3章主要讲述了机器人运动学的基本知识；第4章讲述了机器人动力学常用的分析方法；第5章讲述了关节空间和直角坐标空间的路径及轨迹规划；第6章讲述了并联机器人的一些基本知识；第7章讲述了轮式机器人的一些基本知识；第8章介绍了多机器人系统的初步知识。,电子工业出版社,¥22.10,151条评论,width: 100%;

吴怀宇, /2012-08-01,本书普通高等教育层“自动控制原理”课程的教材，正在申评国家十二五规划教材，内容质量较好。,华中科技大学出版社,¥33.80,41条评论,width: 90%;

刘彬, /2012-09-01,,化学工业出版社,¥18.80,7条评论,width: 100%;

郭盛, /2016-07-01,导语_点评_推荐词,科学出版社,¥60.00,14条评论,width: 90%;

集智俱乐部, /2015-08-01,,人民邮电出版社,¥27.80,7条评论,width: 100%;

冯·诺伊曼, /2010-06-04,他是匈牙利一位犹太银行家的儿子，从小集“天才”和“全才”于一身。他8岁掌握了微积分，12岁能读懂法困大数学家波雷尔的专著《函数论》；他精通7种语言，6岁时能用希腊语同父亲闲谈，50岁时还能用英语背诵《双城记》；他通晓历史，小学时就熟读德国历史学家翁肯的45卷巨著《通史》；30岁时，他与时年54岁的爱因斯坦一起成为普林斯顿高等研究院**批终身教授。他就是20世纪杰出的数学家、经济学家、原子弹先驱、计算机之父——冯·诺伊曼！ 彩色插图·超值珍藏。 科学元典是科学史和人类文明史上她时代的丰碑是历经时间考验的不朽之作让我们一起仰望先贤，它们不仅水伟大的科学创造的结晶，而且是科学精神，科学思想和科学方法，具有永恒的意义和价值。回眸历史体悟原汁原昧的科学发现。,北京大学出版社,¥34.80,0条评论,width: 0%;

彭特里思, /2016-01-01,,东南大学出版社,¥46.90,28条评论,width: 100%;

布尔斯基, /2015-06-01,,国防工业出版社,¥42.80,19条评论,width: 100%;

杨维, /2013-06-01,,科学出版社,¥18.00,84条评论,width: 100%;

许期英, /2010-08-01,本书共11章，第1章介绍交流调速技术概况及发展趋势、交流调速方法及主要应用领域；第2章介绍变频调速技术；第3章介绍脉宽调制控制技术；第4章介绍矢量控制技术；第5章介绍直接转矩控制技术；第6章介绍无换向器电动机技术；第7章介绍各种交直交变频调速系统；第8章介绍各种交-交变频调速系统；第9章介绍绕线转子异步电动机双馈调速及串级调速系统；第10章介绍开关磁阻电动机调速系统；第11章介绍变频调速技术的应用。,化学工业出版社,¥30.60,13条评论,width: 100%;

吕德生, /2017-12-01,,科学出版社,¥51.30,17条评论,width: 100%;

陈江进, /2012-01-01,,国防工业出版社,¥16.20,15条评论,width: 100%;

王瑜, /2013-12-11,,科学出版社,¥43.50,33条评论,width: 60%;

齐欢, /2013-12-01,,清华大学出版社,¥41.70,125条评论,width: 100%;

杨宏晖, /2016-06-01,暂时没有内容,电子工业出版社,¥34.60,4条评论,width: 0%;

